camara,comision,nombre,bloque,cargo
senado,De Industria y Comercio,"KRONEBERGER, Daniel Ricardo",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Industria y Comercio,"SCHNEIDER, Silvana Lorena",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Industria y Comercio,"GADANO, Natalia Elena",MOVERE POR SANTA CRUZ,Vocal
senado,De Industria y Comercio,"VIGO, Alejandra María",PROVINCIAS UNIDAS,Vocal
senado,De Industria y Comercio,"MENDOZA, Sandra Mariela",CONVICCIÓN FEDERAL,Vocal
senado,De Industria y Comercio,"LEWANDOWSKI, Marcelo Néstor",JUSTICIALISTA,Vocal
senado,De Industria y Comercio,"CORPACCI, Lucía Benigna",JUSTICIALISTA,Vocal
senado,De Industria y Comercio,"DE PEDRO, Eduardo Enrique",JUSTICIALISTA,Vocal
senado,De Industria y Comercio,"LÓPEZ, María Florencia",JUSTICIALISTA,Vocal
senado,De Industria y Comercio,"BENSUSÁN, Daniel Pablo",JUSTICIALISTA,Vocal
senado,De Industria y Comercio,"SALINO, Fernando Aldo",JUSTICIA SOCIAL FEDERAL,Vocal
senado,"De Infraestructura, Vivienda y Transporte","FULLONE, Enzo Paolo",LA LIBERTAD AVANZA,Vicepresidente
senado,"De Infraestructura, Vivienda y Transporte","ALMEIDA, Romina María",LA LIBERTAD AVANZA,Vocal
senado,"De Infraestructura, Vivienda y Transporte","BENEGAS LYNCH, Joaquín Alberto",LA LIBERTAD AVANZA,Vocal
senado,"De Infraestructura, Vivienda y Transporte","JURI, Mariana",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,"De Infraestructura, Vivienda y Transporte","CORROZA, Julieta",LA NEUQUINIDAD,Vocal
senado,"De Infraestructura, Vivienda y Transporte","CARAMBIA, José María",MOVERE POR SANTA CRUZ,Vocal
senado,"De Infraestructura, Vivienda y Transporte","MENDOZA, Sandra Mariela",CONVICCIÓN FEDERAL,Vocal
senado,"De Infraestructura, Vivienda y Transporte","GONZÁLEZ, María Teresa Margarita",JUSTICIALISTA,Vocal
senado,"De Infraestructura, Vivienda y Transporte","LEWANDOWSKI, Marcelo Néstor",JUSTICIALISTA,Secretario/a
senado,"De Infraestructura, Vivienda y Transporte","RECALDE, Mariano",JUSTICIALISTA,Vocal
senado,"De Infraestructura, Vivienda y Transporte","BENSUSÁN, Daniel Pablo",JUSTICIALISTA,Vocal
senado,"De Infraestructura, Vivienda y Transporte","NEDER, José Emilio",JUSTICIALISTA,Vocal
senado,"De Infraestructura, Vivienda y Transporte","ZAMORA, Gerardo",FRENTE CÍVICO POR SANTIAGO,Vocal
senado,"De Infraestructura, Vivienda y Transporte","ÁVILA, Beatriz Luisa",INDEPENDENCIA,Presidente
senado,"De Infraestructura, Vivienda y Transporte","ESPÍNOLA, Carlos Mauricio",PROVINCIAS UNIDAS,Vocal
senado,"De Infraestructura, Vivienda y Transporte","GALARETTO, Eduardo Horacio",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,"De Infraestructura, Vivienda y Transporte","PAOLTRONI, Francisco Manuel",LA LIBERTAD AVANZA,Vocal
